Dispense#,A or D,plate name,ADW_123,SOR_123,,plate type,well ,Source Well,volume,,Dispense#,A or D,plate name,ADW_123,SOR_123,,plate type,well ,Destination Well,volume,Transfer Volume
130,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,130,D,Output1,2,2,3,96 Well Microplate,26,B4,2,25
131,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,131,D,Output1,2,2,3,96 Well Microplate,27,C4,2,25
132,A,SetupPlate1,1,1,3,96 Well Microplate,7,G1,2,,132,D,Output1,2,2,3,96 Well Microplate,27,C4,2,25
133,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,133,D,Output1,2,2,3,96 Well Microplate,27,C4,2,25
134,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,134,D,Output1,2,2,3,96 Well Microplate,27,C4,2,25
135,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,135,D,Output1,2,2,3,96 Well Microplate,27,C4,2,25
136,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,136,D,Output1,2,2,3,96 Well Microplate,28,D4,2,25
137,A,SetupPlate1,1,1,3,96 Well Microplate,7,G1,2,,137,D,Output1,2,2,3,96 Well Microplate,28,D4,2,25
138,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,138,D,Output1,2,2,3,96 Well Microplate,28,D4,2,25
139,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,139,D,Output1,2,2,3,96 Well Microplate,28,D4,2,25
140,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,140,D,Output1,2,2,3,96 Well Microplate,28,D4,2,25
141,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,141,D,Output1,2,2,3,96 Well Microplate,29,E4,2,25
142,A,SetupPlate1,1,1,3,96 Well Microplate,7,G1,2,,142,D,Output1,2,2,3,96 Well Microplate,29,E4,2,25
143,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,143,D,Output1,2,2,3,96 Well Microplate,29,E4,2,25
144,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,144,D,Output1,2,2,3,96 Well Microplate,29,E4,2,25
145,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,145,D,Output1,2,2,3,96 Well Microplate,29,E4,2,25
146,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,146,D,Output1,2,2,3,96 Well Microplate,30,F4,2,25
147,A,SetupPlate1,1,1,3,96 Well Microplate,7,G1,2,,147,D,Output1,2,2,3,96 Well Microplate,30,F4,2,25
148,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,148,D,Output1,2,2,3,96 Well Microplate,30,F4,2,25
149,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,149,D,Output1,2,2,3,96 Well Microplate,30,F4,2,25
150,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,150,D,Output1,2,2,3,96 Well Microplate,30,F4,2,25
151,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,151,D,Output1,2,2,3,96 Well Microplate,31,G4,2,25
152,A,SetupPlate1,1,1,3,96 Well Microplate,7,G1,2,,152,D,Output1,2,2,3,96 Well Microplate,31,G4,2,25
153,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,153,D,Output1,2,2,3,96 Well Microplate,31,G4,2,25
154,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,154,D,Output1,2,2,3,96 Well Microplate,31,G4,2,25
155,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,155,D,Output1,2,2,3,96 Well Microplate,31,G4,2,25
156,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,156,D,Output1,2,2,3,96 Well Microplate,32,H4,2,25
157,A,SetupPlate1,1,1,3,96 Well Microplate,7,G1,2,,157,D,Output1,2,2,3,96 Well Microplate,32,H4,2,25
158,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,158,D,Output1,2,2,3,96 Well Microplate,32,H4,2,25
159,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,159,D,Output1,2,2,3,96 Well Microplate,32,H4,2,25
160,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,160,D,Output1,2,2,3,96 Well Microplate,32,H4,2,25
161,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,161,D,Output1,2,2,3,96 Well Microplate,33,A5,2,25
162,A,SetupPlate1,1,1,3,96 Well Microplate,7,G1,2,,162,D,Output1,2,2,3,96 Well Microplate,33,A5,2,25
163,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,163,D,Output1,2,2,3,96 Well Microplate,33,A5,2,25
164,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,164,D,Output1,2,2,3,96 Well Microplate,33,A5,2,25
165,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,165,D,Output1,2,2,3,96 Well Microplate,33,A5,2,25
166,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,166,D,Output1,2,2,3,96 Well Microplate,34,B5,2,25
167,A,SetupPlate1,1,1,3,96 Well Microplate,7,G1,2,,167,D,Output1,2,2,3,96 Well Microplate,34,B5,2,25
168,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,168,D,Output1,2,2,3,96 Well Microplate,34,B5,2,25
169,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,169,D,Output1,2,2,3,96 Well Microplate,34,B5,2,25
170,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,170,D,Output1,2,2,3,96 Well Microplate,34,B5,2,25
171,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,171,D,Output1,2,2,3,96 Well Microplate,35,C5,2,25
172,A,SetupPlate1,1,1,3,96 Well Microplate,7,G1,2,,172,D,Output1,2,2,3,96 Well Microplate,35,C5,2,25
173,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,173,D,Output1,2,2,3,96 Well Microplate,35,C5,2,25
174,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,174,D,Output1,2,2,3,96 Well Microplate,35,C5,2,25
175,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,175,D,Output1,2,2,3,96 Well Microplate,35,C5,2,25
176,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,176,D,Output1,2,2,3,96 Well Microplate,36,D5,2,25
177,A,SetupPlate1,1,1,3,96 Well Microplate,7,G1,2,,177,D,Output1,2,2,3,96 Well Microplate,36,D5,2,25
178,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,178,D,Output1,2,2,3,96 Well Microplate,36,D5,2,25
179,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,179,D,Output1,2,2,3,96 Well Microplate,36,D5,2,25
180,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,180,D,Output1,2,2,3,96 Well Microplate,36,D5,2,25
181,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,181,D,Output1,2,2,3,96 Well Microplate,37,E5,2,25
182,A,SetupPlate1,1,1,3,96 Well Microplate,2,B1,2,,182,D,Output1,2,2,3,96 Well Microplate,37,E5,2,25
183,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,183,D,Output1,2,2,3,96 Well Microplate,37,E5,2,25
184,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,184,D,Output1,2,2,3,96 Well Microplate,37,E5,2,25
185,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,185,D,Output1,2,2,3,96 Well Microplate,37,E5,2,25
186,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,186,D,Output1,2,2,3,96 Well Microplate,38,F5,2,25
187,A,SetupPlate1,1,1,3,96 Well Microplate,2,B1,2,,187,D,Output1,2,2,3,96 Well Microplate,38,F5,2,25
188,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,188,D,Output1,2,2,3,96 Well Microplate,38,F5,2,25
189,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,189,D,Output1,2,2,3,96 Well Microplate,38,F5,2,25
190,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,190,D,Output1,2,2,3,96 Well Microplate,38,F5,2,25
191,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,191,D,Output1,2,2,3,96 Well Microplate,39,G5,2,25
192,A,SetupPlate1,1,1,3,96 Well Microplate,2,B1,2,,192,D,Output1,2,2,3,96 Well Microplate,39,G5,2,25
193,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,193,D,Output1,2,2,3,96 Well Microplate,39,G5,2,25
194,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,194,D,Output1,2,2,3,96 Well Microplate,39,G5,2,25
195,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,195,D,Output1,2,2,3,96 Well Microplate,39,G5,2,25
196,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,196,D,Output1,2,2,3,96 Well Microplate,40,H5,2,25
197,A,SetupPlate1,1,1,3,96 Well Microplate,2,B1,2,,197,D,Output1,2,2,3,96 Well Microplate,40,H5,2,25
198,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,198,D,Output1,2,2,3,96 Well Microplate,40,H5,2,25
199,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,199,D,Output1,2,2,3,96 Well Microplate,40,H5,2,25
200,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,200,D,Output1,2,2,3,96 Well Microplate,40,H5,2,25
201,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,201,D,Output1,2,2,3,96 Well Microplate,41,A6,2,25
202,A,SetupPlate1,1,1,3,96 Well Microplate,2,B1,2,,202,D,Output1,2,2,3,96 Well Microplate,41,A6,2,25
203,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,203,D,Output1,2,2,3,96 Well Microplate,41,A6,2,25
